id,old_category,new_category
262,玩乐/_未分类,玩乐/影音游戏/会员订阅
305,玩乐/_未分类,玩乐/影音游戏/会员订阅
307,玩乐/_未分类,玩乐/演出赛事
469,玩乐/_未分类,玩乐/影音游戏/会员订阅
478,玩乐/_未分类,玩乐/影音游戏/会员订阅
1132,玩乐/_未分类,玩乐/影音游戏/会员订阅
1181,玩乐/_未分类,玩乐/影音游戏/会员订阅
1199,玩乐/_未分类,玩乐/影音游戏/会员订阅
1201,玩乐/_未分类,玩乐/演出赛事
1479,玩乐/_未分类,玩乐/影音游戏/会员订阅
1656,玩乐/_未分类,玩乐/演出赛事
1816,玩乐/_未分类,玩乐/演出赛事
1854,玩乐/_未分类,玩乐/影音游戏/会员订阅
1855,玩乐/_未分类,玩乐/影音游戏/会员订阅
2029,玩乐/_未分类,居家/家具家电/家具
2054,玩乐/_未分类,玩乐/演出赛事
2101,玩乐/_未分类,玩乐/影音游戏/会员订阅
2116,玩乐/_未分类,玩乐/演出赛事
2237,玩乐/_未分类,玩乐/演出赛事
2238,玩乐/_未分类,玩乐/影音游戏/会员订阅
2283,玩乐/_未分类,玩乐/影音游戏/会员订阅
2342,玩乐/_未分类,玩乐/影音游戏/会员订阅
2343,玩乐/_未分类,玩乐/影音游戏/会员订阅
2344,玩乐/_未分类,玩乐/影音游戏/会员订阅
2346,玩乐/_未分类,玩乐/影音游戏/会员订阅
2363,玩乐/_未分类,玩乐/影音游戏/会员订阅
2393,玩乐/_未分类,玩乐/影音游戏/会员订阅
2394,玩乐/_未分类,玩乐/影音游戏/会员订阅
2397,玩乐/_未分类,玩乐/影音游戏/会员订阅
2398,玩乐/_未分类,玩乐/演出赛事
2399,玩乐/_未分类,玩乐/影音游戏/会员订阅
2402,玩乐/_未分类,玩乐/影音游戏/会员订阅
2428,玩乐/_未分类,玩乐/影音游戏/会员订阅
2429,玩乐/_未分类,玩乐/演出赛事
2431,玩乐/_未分类,玩乐/影音游戏/会员订阅
2434,玩乐/_未分类,玩乐/影音游戏/会员订阅
2440,玩乐/_未分类,玩乐/影音游戏/会员订阅
2445,玩乐/_未分类,玩乐/影音游戏/会员订阅
2452,玩乐/_未分类,玩乐/影音游戏/会员订阅
2461,玩乐/_未分类,玩乐/影音游戏/会员订阅
2462,玩乐/_未分类,玩乐/影音游戏/会员订阅
2507,玩乐/_未分类,玩乐/影音游戏/会员订阅
2521,玩乐/_未分类,玩乐/影音游戏/会员订阅
2525,玩乐/_未分类,玩乐/影音游戏/会员订阅
2529,玩乐/_未分类,玩乐/影音游戏/会员订阅
2532,玩乐/_未分类,玩乐/影音游戏/会员订阅
2533,玩乐/_未分类,玩乐/影音游戏/会员订阅
2536,玩乐/_未分类,玩乐/影音游戏/会员订阅
2538,玩乐/_未分类,玩乐/影音游戏/会员订阅
2553,玩乐/_未分类,玩乐/影音游戏/会员订阅
2557,玩乐/_未分类,玩乐/影音游戏/会员订阅
2590,玩乐/_未分类,玩乐/影音游戏/会员订阅
2644,玩乐/_未分类,玩乐/影音游戏/会员订阅
2654,玩乐/_未分类,玩乐/演出赛事
2684,玩乐/_未分类,玩乐/影音游戏/会员订阅
2949,玩乐/_未分类,玩乐/影音游戏/会员订阅
3358,玩乐/_未分类,玩乐/影音游戏/书籍影视
3388,玩乐/_未分类,玩乐/演出赛事
3477,玩乐/_未分类,玩乐/影音游戏/会员订阅
3543,玩乐/_未分类,玩乐/影音游戏/会员订阅
3954,玩乐/_未分类,玩乐/影音游戏/会员订阅
3960,玩乐/_未分类,玩乐/演出赛事
4047,玩乐/_未分类,玩乐/影音游戏/会员订阅
4316,玩乐/_未分类,餐饮/外卖/晚餐
4337,玩乐/_未分类,玩乐/旅游
4340,玩乐/_未分类,玩乐/影音游戏/会员订阅
4413,玩乐/_未分类,玩乐/影音游戏/会员订阅
4503,玩乐/_未分类,玩乐/影音游戏/会员订阅
4676,玩乐/_未分类,玩乐/影音游戏/会员订阅
4761,玩乐/_未分类,玩乐/影音游戏/会员订阅
4914,玩乐/_未分类,玩乐/影音游戏/会员订阅
4922,玩乐/_未分类,玩乐/影音游戏/会员订阅
4971,玩乐/_未分类,玩乐/旅游
4972,玩乐/_未分类,玩乐/演出赛事
4981,玩乐/_未分类,玩乐/演出赛事
4986,玩乐/_未分类,宠物/服务
4998,玩乐/_未分类,玩乐/_未分类
5038,玩乐/_未分类,玩乐/影音游戏/会员订阅
5062,玩乐/_未分类,玩乐/影音游戏/会员订阅
5090,玩乐/_未分类,玩乐/影音游戏/会员订阅
5237,玩乐/_未分类,玩乐/影音游戏/会员订阅
5241,玩乐/_未分类,玩乐/影音游戏/会员订阅
5252,玩乐/_未分类,玩乐/影音游戏/会员订阅
5264,玩乐/_未分类,玩乐/影音游戏/会员订阅
5358,玩乐/_未分类,玩乐/影音游戏/会员订阅
5548,玩乐/_未分类,玩乐/影音游戏/会员订阅
5605,玩乐/_未分类,玩乐/影音游戏/会员订阅
5606,玩乐/_未分类,玩乐/影音游戏/会员订阅
5616,玩乐/_未分类,玩乐/演出赛事
5625,玩乐/_未分类,玩乐/影音游戏/会员订阅
5637,玩乐/_未分类,社交/聚会/请客
5752,玩乐/_未分类,玩乐/影音游戏/会员订阅
5771,玩乐/_未分类,玩乐/影音游戏/会员订阅
5772,玩乐/_未分类,玩乐/影音游戏/会员订阅
5779,玩乐/_未分类,玩乐/影音游戏/会员订阅
5796,玩乐/_未分类,玩乐/影音游戏/会员订阅
5814,玩乐/_未分类,玩乐/演出赛事
5816,玩乐/_未分类,玩乐/影音游戏/会员订阅
5852,玩乐/_未分类,玩乐/演出赛事
5876,玩乐/_未分类,玩乐/影音游戏/会员订阅
6061,玩乐/_未分类,玩乐/影音游戏/会员订阅
6313,玩乐/_未分类,玩乐/影音游戏/会员订阅
6327,玩乐/_未分类,玩乐/影音游戏/会员订阅
6406,玩乐/_未分类,玩乐/影音游戏/会员订阅
6499,玩乐/_未分类,玩乐/影音游戏/会员订阅
6501,玩乐/_未分类,玩乐/影音游戏/会员订阅
6518,玩乐/_未分类,玩乐/影音游戏/会员订阅
6548,玩乐/_未分类,玩乐/演出赛事
6549,玩乐/_未分类,玩乐/影音游戏/会员订阅
