id,old_category
62,其他/_未分类
105,其他/_未分类
205,其他/_未分类
229,其他/_未分类
385,其他/_未分类
423,其他/_未分类
440,其他/_未分类
520,其他/_未分类
642,其他/_未分类
745,其他/_未分类
1259,其他/_未分类
1317,其他/_未分类
2468,其他/_未分类
2667,其他/_未分类
2753,其他/_未分类
2754,其他/_未分类
2758,其他/_未分类
2951,其他/_未分类
3061,其他/_未分类
3070,其他/_未分类
3077,其他/_未分类
3078,其他/_未分类
3082,其他/_未分类
3096,其他/_未分类
3097,其他/_未分类
3121,其他/_未分类
3748,其他/_未分类
3778,其他/_未分类
3952,其他/_未分类
4401,其他/_未分类
4429,其他/_未分类
5100,其他/_未分类
5102,其他/_未分类
5126,其他/_未分类
5127,其他/_未分类
5128,其他/_未分类
5129,其他/_未分类
5130,其他/_未分类
5131,其他/_未分类
5132,其他/_未分类
5133,其他/_未分类
5134,其他/_未分类
5135,其他/_未分类
5136,其他/_未分类
5137,其他/_未分类
5138,其他/_未分类
5139,其他/_未分类
5140,其他/_未分类
5141,其他/_未分类
5142,其他/_未分类
5143,其他/_未分类
5144,其他/_未分类
5145,其他/_未分类
5146,其他/_未分类
5147,其他/_未分类
5148,其他/_未分类
5149,其他/_未分类
5150,其他/_未分类
5151,其他/_未分类
5152,其他/_未分类
5153,其他/_未分类
5154,其他/_未分类
5155,其他/_未分类
5156,其他/_未分类
5157,其他/_未分类
5158,其他/_未分类
5159,其他/_未分类
5160,其他/_未分类
5161,其他/_未分类
5555,其他/_未分类
6184,其他/_未分类
6191,其他/_未分类
6673,其他/_未分类
6686,其他/_未分类
6701,其他/_未分类
6739,其他/_未分类
6740,其他/_未分类
6743,其他/_未分类
6744,其他/_未分类
6759,其他/_未分类
6761,其他/_未分类
6794,其他/_未分类
6796,其他/_未分类
6797,其他/_未分类
6818,其他/_未分类
6822,其他/_未分类
6843,其他/_未分类
6847,其他/_未分类
116,其他收入/_未分类
122,其他收入/_未分类
133,其他收入/_未分类
761,其他收入/_未分类
762,其他收入/_未分类
3512,其他收入/_未分类
4775,其他收入/_未分类
4776,其他收入/_未分类
5099,其他收入/_未分类
5101,其他收入/_未分类
